
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"01","0","0","0","0","0","0","0","2","5","8","10","13","13","11","8","5","2","0","0","0","0","0","0","0"
"02","0","0","0","0","0","0","1","2","5","8","11","13","13","11","8","3","1","0","0","0","0","0","0","0"
"03","0","0","0","0","0","0","1","2","5","8","9","13","13","11","8","5","2","1","0","0","0","0","0","0"
"04","0","0","0","0","0","0","1","2","5","9","11","13","13","11","9","5","2","0","0","0","0","0","0","0"
"05","0","0","0","0","0","0","1","2","5","9","12","14","14","12","9","5","2","0","0","0","0","0","0","0"
"06","0","0","0","0","0","0","1","2","5","9","12","14","14","12","9","5","2","1","0","0","0","0","0","0"
"07","0","0","0","0","0","0","1","2","5","9","12","14","14","12","8","5","2","0","0","0","0","0","0","0"
"08","0","0","0","0","0","0","1","2","5","8","11","13","12","10","8","4","1","0","0","0","0","0","0","0"
"09","0","0","0","0","0","0","1","2","5","8","11","13","13","11","8","4","2","1","0","0","0","0","0","0"
"10","0","0","0","0","0","0","1","2","5","9","12","14","14","12","9","5","1","0","0","0","0","0","0","0"
"11","0","0","0","0","0","0","1","2","5","9","12","14","14","12","8","4","2","0","0","0","0","0","0","0"
"12","0","0","0","0","0","0","1","2","5","8","11","13","13","10","7","4","2","0","0","0","0","0","0","0"
"13","0","0","0","0","0","0","1","1","4","8","11","13","13","11","6","4","1","0","0","0","0","0","0","0"
"14","0","0","0","0","0","0","1","2","5","9","11","13","13","11","8","5","2","1","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0","2","5","8","11","13","13","11","8","5","2","0","0","0","0","0","0","0"
"16","0","0","0","0","0","0","1","2","5","8","12","14","14","12","9","5","2","0","0","0","0","0","0","0"
"17","0","0","0","0","0","0","1","2","5","9","12","14","14","12","9","5","2","1","0","0","0","0","0","0"
"18","0","0","0","0","0","0","1","2","5","9","12","14","14","12","9","5","2","1","0","0","0","0","0","0"
"19","0","0","0","0","0","0","1","2","5","9","12","14","14","12","9","5","2","0","0","0","0","0","0","0"
"20","0","0","0","0","0","0","1","2","5","8","11","13","14","12","8","5","2","0","0","0","0","0","0","0"
"21","0","0","0","0","0","0","0","2","5","8","11","12","13","12","9","5","2","0","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0","2","5","8","11","13","13","11","8","5","2","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0","2","4","6","4","2","2","9","2","1","0","0","0","0","0","0","0","0"
"24","0","0","0","0","0","0","0","1","2","4","3","3","3","2","1","0","0","0","0","0","0","0","0","0"
"25","0","0","0","0","0","0","0","0","0","1","2","2","2","2","1","1","0","0","0","0","0","0","0","0"
"26","0","0","0","0","0","0","0","1","2","2","3","4","4","3","2","2","1","0","0","0","0","0","0","0"
"27","0","0","0","0","0","0","0","0","1","2","2","1","1","2","2","2","1","0","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0","2","4","8","11","13","13","11","8","5","2","0","0","0","0","0","0","0"
"29","0","0","0","0","0","0","0","2","3","4","7","9","12","8","2","0","0","0","0","0","0","0","0","0"
"30","0","0","0","0","0","0","0","2","5","9","12","15","15","13","9","5","2","0","0","0","0","0","0","0"
"31","0","0","0","0","0","0","1","2","5","9","12","14","15","13","9","5","2","0","0","0","0","0","0","0"
